Season,Opponent,Home,Win,MOV,Streak,Rk,Age,W/L,ExW/L,AvMOV,SOS,SRS,ORtg,DRtg,NRtg,Pace,FTr,3PAr,TS%,eFG%,TOV%,ORB%,FT/FGA,eFG%,TOV%,DRB%,FT/FGA,Record
2020-2021,Utah Jazz,1,0,-14,-1,1,28.5,0.722222222,0.763888889,9.25,-0.29,8.97,117.6,108.3,9.3,98.5,0.244,0.488,0.597,0.563,12.7,24.5,0.195,0.507,10.3,79.3,0.159,0.4
2020-2021,Toronto Raptors,0,1,14,-2,19,26.6,0.375,0.486111111,-0.47,-0.07,-0.54,112,112.5,-0.5,99.2,0.241,0.444,0.567,0.529,11.9,20.8,0.196,0.543,14.4,76.3,0.234,0.9
2020-2021,Detroit Pistons,0,0,-6,1,25,24.5,0.277777778,0.361111111,-4.47,0.09,-4.38,108,112.5,-4.5,97.9,0.273,0.385,0.556,0.519,13.5,21.9,0.207,0.541,12.6,76.9,0.195,0.777777778
2020-2021,Washington Wizards,1,0,-13,-1,22,26.6,0.472222222,0.444444444,-1.83,-0.01,-1.85,111.2,113,-1.8,104.1,0.288,0.319,0.569,0.531,12.3,21.3,0.221,0.539,12.5,77.6,0.217,0.666666667
2020-2021,Denver Nuggets,0,1,13,-2,6,26.1,0.652777778,0.652777778,4.93,-0.11,4.82,117.1,112.1,5,97.1,0.219,0.383,0.588,0.557,12.1,24.7,0.176,0.545,12.9,78.9,0.2,0.8
2020-2021,Atlanta Hawks,0,0,-8,1,11,25.4,0.569444444,0.569444444,2.32,-0.18,2.14,115.7,113.3,2.4,97.6,0.278,0.382,0.581,0.539,11.9,24.4,0.226,0.53,11.1,77.8,0.19,0.666666667
2020-2021,Atlanta Hawks,0,1,12,-1,11,25.4,0.569444444,0.569444444,2.32,-0.18,2.14,115.7,113.3,2.4,97.6,0.278,0.382,0.581,0.539,11.9,24.4,0.226,0.53,11.1,77.8,0.19,0.666666667
2020-2021,New Orleans Pelicans,1,0,-5,1,18,24.8,0.430555556,0.486111111,-0.29,0.1,-0.2,113.5,113.8,-0.3,100.1,0.293,0.342,0.57,0.537,12.7,26.3,0.214,0.55,11.9,80,0.186,0.8
2020-2021,Dallas Mavericks,1,0,-3,-1,9,26.3,0.583333333,0.569444444,2.26,-0.01,2.26,115.4,113,2.4,97.3,0.242,0.436,0.582,0.55,11.1,21.1,0.189,0.534,11.5,77.8,0.197,0.6
2020-2021,Atlanta Hawks,1,0,-15,-2,11,25.4,0.569444444,0.569444444,2.32,-0.18,2.14,115.7,113.3,2.4,97.6,0.278,0.382,0.581,0.539,11.9,24.4,0.226,0.53,11.1,77.8,0.19,0.375
2020-2021,Indiana Pacers,0,1,6,-3,17,26.5,0.472222222,0.5,-0.04,-0.08,-0.13,112.4,112.4,0,101.6,0.227,0.372,0.575,0.542,11.9,20.2,0.18,0.531,12.7,74.9,0.201,0.777777778
2020-2021,Washington Wizards,0,1,1,1,22,26.6,0.472222222,0.444444444,-1.83,-0.01,-1.85,111.2,113,-1.8,104.1,0.288,0.319,0.569,0.531,12.3,21.3,0.221,0.539,12.5,77.6,0.217,0.888888889
2020-2021,Los Angeles Clippers,0,1,5,2,2,28.8,0.652777778,0.680555556,6.18,-0.16,6.02,117.6,111.2,6.4,96.9,0.222,0.4,0.599,0.564,12.2,22.7,0.186,0.531,11.9,79.1,0.186,0.6
2020-2021,Toronto Raptors,0,1,7,3,19,26.6,0.375,0.486111111,-0.47,-0.07,-0.54,112,112.5,-0.5,99.2,0.241,0.444,0.567,0.529,11.9,20.8,0.196,0.543,14.4,76.3,0.234,0.9
2020-2021,Brooklyn Nets,1,0,-12,4,7,28.2,0.666666667,0.638888889,4.5,-0.27,4.24,118.3,113.8,4.5,99.5,0.258,0.413,0.61,0.575,12.2,21.4,0.208,0.531,11.1,77.3,0.187,0.8
2020-2021,Houston Rockets,1,1,27,-1,27,26.5,0.236111111,0.277777778,-7.9,0.4,-7.5,107.1,114.9,-7.8,101.4,0.252,0.459,0.553,0.521,13,19.8,0.187,0.555,12.9,77.1,0.201,0.8
2020-2021,Utah Jazz,0,0,-8,1,1,28.5,0.722222222,0.763888889,9.25,-0.29,8.97,117.6,108.3,9.3,98.5,0.244,0.488,0.597,0.563,12.7,24.5,0.195,0.507,10.3,79.3,0.159,0.8
2020-2021,Cleveland Cavaliers,1,0,-7,-1,28,24,0.305555556,0.25,-8.44,0.25,-8.19,105.8,114.4,-8.6,97.3,0.261,0.347,0.543,0.508,13.9,23.6,0.194,0.556,13,76.6,0.183,0.222222222
2020-2021,Sacramento Kings,0,0,-11,-2,24,25.6,0.430555556,0.388888889,-3.68,0.23,-3.45,113.6,117.2,-3.6,100,0.248,0.376,0.578,0.549,12,21.3,0.185,0.557,12.1,75,0.199,0.6
2020-2021,Orlando Magic,0,1,16,-3,29,25.6,0.291666667,0.236111111,-9.31,0.29,-9.02,105.1,114.5,-9.4,98.7,0.24,0.356,0.527,0.49,11.5,21.6,0.186,0.547,11.5,78.2,0.169,0.75
2020-2021,Memphis Grizzlies,1,0,-6,1,15,24.2,0.527777778,0.527777778,1.03,0.04,1.07,112,111,1,100.4,0.232,0.342,0.56,0.528,11.6,24.2,0.179,0.535,13.1,78.3,0.196,0.8
2020-2021,Milwaukee Bucks,1,0,-2,-1,4,28.1,0.638888889,0.666666667,5.89,-0.32,5.57,117.2,111.4,5.8,102.2,0.233,0.404,0.593,0.566,12,23.3,0.177,0.536,11.5,79.7,0.157,0.333333333
2020-2021,Milwaukee Bucks,1,1,8,-2,4,28.1,0.638888889,0.666666667,5.89,-0.32,5.57,117.2,111.4,5.8,102.2,0.233,0.404,0.593,0.566,12,23.3,0.177,0.536,11.5,79.7,0.157,0.333333333
2020-2021,Oklahoma City Thunder,1,1,17,1,30,22.8,0.305555556,0.208333333,-10.64,0.51,-10.13,103.5,114,-10.5,101,0.242,0.399,0.539,0.509,14.2,21.2,0.176,0.547,11.5,77.9,0.167,0.4
2020-2021,New Orleans Pelicans,0,0,-6,2,18,24.8,0.430555556,0.486111111,-0.29,0.1,-0.2,113.5,113.8,-0.3,100.1,0.293,0.342,0.57,0.537,12.7,26.3,0.214,0.55,11.9,80,0.186,0.8
2020-2021,Dallas Mavericks,0,0,-5,-1,9,26.3,0.583333333,0.569444444,2.26,-0.01,2.26,115.4,113,2.4,97.3,0.242,0.436,0.582,0.55,11.1,21.1,0.189,0.534,11.5,77.8,0.197,0.4
2020-2021,Houston Rockets,0,1,16,-2,27,26.5,0.236111111,0.277777778,-7.9,0.4,-7.5,107.1,114.9,-7.8,101.4,0.252,0.459,0.553,0.521,13,19.8,0.187,0.555,12.9,77.1,0.201,0.8
2020-2021,Charlotte Hornets,0,1,30,1,23,24.6,0.458333333,0.444444444,-1.93,-0.01,-1.94,110.9,112.8,-1.9,98.3,0.238,0.422,0.564,0.532,13.3,23.5,0.181,0.55,13.2,75.7,0.163,0.857142857
2020-2021,Philadelphia 76ers,0,0,-10,2,5,27.1,0.680555556,0.666666667,5.58,-0.31,5.28,113.2,107.6,5.6,99.5,0.293,0.347,0.579,0.541,12.8,23.2,0.225,0.521,13.8,78.2,0.2,0.666666667
2020-2021,New York Knicks,0,1,2,-1,10,25.6,0.569444444,0.569444444,2.31,-0.18,2.13,110.6,108.2,2.4,95.9,0.242,0.347,0.559,0.524,11.9,21.9,0.19,0.509,11.7,78.6,0.196,0.636363636
2020-2021,Minnesota Timberwolves,0,1,9,1,26,23.2,0.319444444,0.333333333,-5.56,0.31,-5.25,109.5,115,-5.5,101.6,0.254,0.413,0.555,0.52,12.4,22.7,0.193,0.556,13.3,76.8,0.207,1
2020-2021,Denver Nuggets,1,1,18,2,6,26.1,0.652777778,0.652777778,4.93,-0.11,4.82,117.1,112.1,5,97.1,0.219,0.383,0.588,0.557,12.1,24.7,0.176,0.545,12.9,78.9,0.2,0.6
2020-2021,Portland Trail Blazers,1,1,1,3,12,27.4,0.583333333,0.555555556,1.79,0.01,1.81,117.8,116,1.8,98.4,0.238,0.448,0.577,0.54,9.9,23,0.195,0.546,11.2,77.5,0.203,1
2020-2021,Los Angeles Lakers,1,1,8,4,8,28.2,0.583333333,0.583333333,2.79,-0.03,2.77,109.9,107.1,2.8,98.7,0.271,0.363,0.569,0.536,13.6,22.5,0.2,0.526,13.7,79.7,0.184,0.6
2020-2021,Golden State Warriors,0,1,5,5,14,26.7,0.541666667,0.527777778,1.06,0.04,1.1,111.1,110.1,1,102.2,0.239,0.439,0.583,0.551,13.3,17.9,0.188,0.522,13.1,76.6,0.223,0.6
2020-2021,Chicago Bulls,0,0,-6,6,20,25.6,0.430555556,0.472222222,-0.89,-0.05,-0.94,111.1,112,-0.9,99,0.197,0.383,0.575,0.547,13.6,22.3,0.156,0.538,11.6,80.3,0.196,0.625
2020-2021,Phoenix Suns,0,1,13,-1,3,26.6,0.708333333,0.680555556,5.82,-0.15,5.67,117.2,111.3,5.9,97.2,0.212,0.392,0.597,0.564,11.5,20.8,0.177,0.534,12.4,78.5,0.194,0.8
2020-2021,Brooklyn Nets,1,0,-5,1,7,28.2,0.666666667,0.638888889,4.5,-0.27,4.24,118.3,113.8,4.5,99.5,0.258,0.413,0.61,0.575,12.2,21.4,0.208,0.531,11.1,77.3,0.187,0.8
2020-2021,Charlotte Hornets,1,0,-21,-1,23,24.6,0.458333333,0.444444444,-1.93,-0.01,-1.94,110.9,112.8,-1.9,98.3,0.238,0.422,0.564,0.532,13.3,23.5,0.181,0.55,13.2,75.7,0.163,0.777777778
2020-2021,Oklahoma City Thunder,0,0,-4,-2,30,22.8,0.305555556,0.208333333,-10.64,0.51,-10.13,103.5,114,-10.5,101,0.242,0.399,0.539,0.509,14.2,21.2,0.176,0.547,11.5,77.9,0.167,0.6
2020-2021,Charlotte Hornets,0,1,9,-3,23,24.6,0.458333333,0.444444444,-1.93,-0.01,-1.94,110.9,112.8,-1.9,98.3,0.238,0.422,0.564,0.532,13.3,23.5,0.181,0.55,13.2,75.7,0.163,0.857142857
2020-2021,San Antonio Spurs,0,1,3,1,21,26.2,0.458333333,0.444444444,-1.74,0.15,-1.58,111,112.8,-1.8,98.9,0.243,0.314,0.554,0.517,10.2,20,0.192,0.541,11.8,77.3,0.174,0.8
2020-2021,Portland Trail Blazers,0,0,-10,2,12,27.4,0.583333333,0.555555556,1.79,0.01,1.81,117.8,116,1.8,98.4,0.238,0.448,0.577,0.54,9.9,23,0.195,0.546,11.2,77.5,0.203,0.6
2020-2021,Orlando Magic,1,1,36,-1,29,25.6,0.291666667,0.236111111,-9.31,0.29,-9.02,105.1,114.5,-9.4,98.7,0.24,0.356,0.527,0.49,11.5,21.6,0.186,0.547,11.5,78.2,0.169,0.571428571
2020-2021,Chicago Bulls,1,0,-22,1,20,25.6,0.430555556,0.472222222,-0.89,-0.05,-0.94,111.1,112,-0.9,99,0.197,0.383,0.575,0.547,13.6,22.3,0.156,0.538,11.6,80.3,0.196,0.666666667
2020-2021,Miami Heat,0,0,-6,-1,16,27.4,0.555555556,0.5,0.03,-0.09,-0.06,111.2,111.2,0,96.6,0.252,0.432,0.581,0.546,13.1,19.4,0.199,0.542,13.8,77.9,0.183,0.444444444
2020-2021,Miami Heat,0,0,-8,-2,16,27.4,0.555555556,0.5,0.03,-0.09,-0.06,111.2,111.2,0,96.6,0.252,0.432,0.581,0.546,13.1,19.4,0.199,0.542,13.8,77.9,0.183,0.444444444
2020-2021,Cleveland Cavaliers,1,0,-8,-3,28,24,0.305555556,0.25,-8.44,0.25,-8.19,105.8,114.4,-8.6,97.3,0.261,0.347,0.543,0.508,13.9,23.6,0.194,0.556,13,76.6,0.183,0.222222222
2020-2021,Minnesota Timberwolves,1,1,16,-4,26,23.2,0.319444444,0.333333333,-5.56,0.31,-5.25,109.5,115,-5.5,101.6,0.254,0.413,0.555,0.52,12.4,22.7,0.193,0.556,13.3,76.8,0.207,0.6
2020-2021,New York Knicks,1,0,-4,1,10,25.6,0.569444444,0.569444444,2.31,-0.18,2.13,110.6,108.2,2.4,95.9,0.242,0.347,0.559,0.524,11.9,21.9,0.19,0.509,11.7,78.6,0.196,0.5
