Season,Opponent,Home,Win,MOV,Streak,Rk,Age,W/L,ExW/L,AvMOV,SOS,SRS,ORtg,DRtg,NRtg,Pace,FTr,3PAr,TS%,eFG%,TOV%,ORB%,FT/FGA,eFG%,TOV%,DRB%,FT/FGA,Record
2023-2024,Charlotte Hornets,1,0,-3,6,30,25.1,0.256097561,0.219512195,-10.24,0.13,-10.12,109.3,119.8,-10.5,97.3,0.212,0.391,0.56,0.529,12.6,21.1,0.167,0.572,12.3,74.5,0.188,0.777777778
2023-2024,Milwaukee Bucks,0,1,3,-1,12,30.2,0.597560976,0.573170732,2.62,-0.18,2.44,118.4,115.8,2.6,99.9,0.27,0.43,0.601,0.568,11.5,21.8,0.209,0.539,10.6,77.2,0.189,1
2023-2024,Orlando Magic,1,0,-17,1,15,24,0.573170732,0.56097561,2.02,-0.55,1.48,113.4,111.3,2.1,96.9,0.287,0.369,0.577,0.541,13.3,25.3,0.218,0.543,13.8,78.1,0.206,0.571428571
2023-2024,Atlanta Hawks,0,1,10,-1,21,26.2,0.43902439,0.43902439,-2.18,-0.19,-2.38,117.2,119.4,-2.2,100.1,0.251,0.408,0.576,0.539,11.6,27.1,0.2,0.572,12.4,75.2,0.192,0.666666667
2023-2024,Chicago Bulls,0,1,27,1,20,28.1,0.475609756,0.451219512,-1.44,-0.33,-1.77,114.9,116.3,-1.4,96.3,0.236,0.358,0.568,0.534,11,25.1,0.187,0.556,12.7,76.4,0.195,0.625
2023-2024,Philadelphia 76ers,0,1,6,2,8,28.4,0.573170732,0.597560976,3.05,-0.54,2.51,116.9,113.8,3.1,97.5,0.264,0.373,0.574,0.532,10.7,24.8,0.218,0.537,13.1,74.3,0.215,0.666666667
2023-2024,Indiana Pacers,1,0,-10,3,10,25.3,0.573170732,0.585365854,3.05,-0.3,2.75,121,118,3,101.7,0.222,0.38,0.606,0.578,11.3,23.8,0.173,0.556,12.1,74.1,0.228,0.444444444
2023-2024,New York Knicks,0,1,10,-1,5,26.4,0.609756098,0.646341463,4.59,-0.23,4.36,118.2,113.4,4.8,95.2,0.246,0.404,0.574,0.54,11.9,29.4,0.192,0.543,12.3,76.1,0.176,0.636363636
2023-2024,Cleveland Cavaliers,0,1,7,1,13,26.2,0.585365854,0.573170732,2.41,-0.44,1.98,115.2,112.7,2.5,97.2,0.234,0.422,0.586,0.557,12.4,23.2,0.179,0.535,12.3,76.9,0.19,0.75
2023-2024,Cleveland Cavaliers,0,1,9,2,13,26.2,0.585365854,0.573170732,2.41,-0.44,1.98,115.2,112.7,2.5,97.2,0.234,0.422,0.586,0.557,12.4,23.2,0.179,0.535,12.3,76.9,0.19,0.75
2023-2024,Orlando Magic,0,1,17,3,15,24,0.573170732,0.56097561,2.02,-0.55,1.48,113.4,111.3,2.1,96.9,0.287,0.369,0.577,0.541,13.3,25.3,0.218,0.543,13.8,78.1,0.206,0.75
2023-2024,Orlando Magic,0,1,17,4,15,24,0.573170732,0.56097561,2.02,-0.55,1.48,113.4,111.3,2.1,96.9,0.287,0.369,0.577,0.541,13.3,25.3,0.218,0.543,13.8,78.1,0.206,0.75
2023-2024,Golden State Warriors,1,0,-6,5,11,28.4,0.56097561,0.573170732,2.61,0.16,2.77,117.8,115.2,2.6,99.2,0.219,0.425,0.586,0.557,12.5,27.5,0.171,0.539,11.5,76.1,0.195,0.6
2023-2024,Sacramento Kings,1,1,25,-1,17,26.4,0.56097561,0.548780488,1.74,0.55,2.29,116.9,115.2,1.7,98.8,0.229,0.432,0.582,0.556,11.6,24.5,0.171,0.555,12.5,78.4,0.213,0.8
2023-2024,Los Angeles Clippers,1,1,37,1,7,30.4,0.62195122,0.597560976,3.28,0.13,3.41,118.8,115.4,3.4,97.2,0.256,0.383,0.599,0.561,12,24.4,0.211,0.541,11.7,74.8,0.183,0.6
2023-2024,Los Angeles Lakers,1,1,11,2,19,28,0.573170732,0.512195122,0.6,0.48,1.07,115.9,115.3,0.6,100.9,0.276,0.358,0.601,0.566,12.5,19.9,0.216,0.55,11.7,76.2,0.153,0.6
2023-2024,Detroit Pistons,0,1,6,3,27,23.8,0.170731707,0.243902439,-9.11,0.05,-9.06,109.7,118.8,-9.1,99.8,0.246,0.36,0.562,0.526,13.5,23.9,0.193,0.558,11.1,77.3,0.221,0.777777778
2023-2024,Toronto Raptors,0,1,2,4,25,25.9,0.304878049,0.317073171,-6.44,-0.01,-6.45,112.3,118.8,-6.5,99.4,0.241,0.369,0.566,0.535,12.4,24.2,0.182,0.566,12.2,73.9,0.172,0.9
2023-2024,San Antonio Spurs,1,1,33,5,24,23,0.268292683,0.317073171,-6.49,0.69,-5.8,110,116.4,-6.4,101.1,0.22,0.401,0.563,0.532,13.2,22.9,0.172,0.555,11.7,76.4,0.174,0.6
2023-2024,Oklahoma City Thunder,1,0,-4,6,2,23.4,0.695121951,0.707317073,7.41,-0.05,7.36,119.5,112.1,7.4,99.8,0.24,0.383,0.608,0.573,11.4,21.1,0.198,0.53,13.6,73.8,0.202,0.4
2023-2024,Utah Jazz,0,1,29,-1,23,25.1,0.37804878,0.353658537,-4.89,0.68,-4.22,115.5,120.4,-4.9,99.5,0.251,0.406,0.579,0.539,13.6,28.1,0.209,0.567,10.9,75.2,0.182,0.8
